Date/Time,Electricity:Facility [J](Hourly) 
 01/01  01:00:00,24992.049183998406 
 01/01  02:00:00,24992.049183998406 
 01/01  03:00:00,24992.049183998406 
 01/01  04:00:00,24992.049183998406 
 01/01  05:00:00,24992.049183998406 
 01/01  06:00:00,24992.049183998406 
 01/01  07:00:00,24992.049183998406 
 01/01  08:00:00,24992.049183998406 
 01/01  09:00:00,24992.049183998406 
 01/01  10:00:00,6263792.049183998 
 01/01  11:00:00,7613792.049183998 
 01/01  12:00:00,7613792.049183998 
 01/01  13:00:00,7613792.049183998 
 01/01  14:00:00,243872.04918399846 
 01/01  15:00:00,6263792.049183998 
 01/01  16:00:00,7613792.049183998 
 01/01  17:00:00,7613792.049183998 
 01/01  18:00:00,7613792.049183998 
 01/01  19:00:00,24992.049183998406 
 01/01  20:00:00,24992.049183998406 
 01/01  21:00:00,24992.049183998406 
 01/01  22:00:00,24992.049183998406 
 01/01  23:00:00,24992.049183998406 
 01/01  24:00:00,24992.049183998406 
 01/02  01:00:00,24992.049183998406 
 01/02  02:00:00,24992.049183998406 
 01/02  03:00:00,24992.049183998406 
 01/02  04:00:00,24992.049183998406 
 01/02  05:00:00,24992.049183998406 
 01/02  06:00:00,24992.049183998406 
 01/02  07:00:00,24992.049183998406 
 01/02  08:00:00,24992.049183998406 
 01/02  09:00:00,24992.049183998406 
 01/02  10:00:00,6263792.049183998 
 01/02  11:00:00,7613792.049183998 
 01/02  12:00:00,7613792.049183998 
 01/02  13:00:00,7613792.049183998 
 01/02  14:00:00,243872.04918399846 
 01/02  15:00:00,6263792.049183998 
 01/02  16:00:00,7613792.049183998 
 01/02  17:00:00,7613792.049183998 
 01/02  18:00:00,7613792.049183998 
 01/02  19:00:00,24992.049183998406 
 01/02  20:00:00,24992.049183998406 
 01/02  21:00:00,24992.049183998406 
 01/02  22:00:00,24992.049183998406 
 01/02  23:00:00,24992.049183998406 
 01/02  24:00:00,24992.049183998406 
 01/03  01:00:00,24992.049183998406 
 01/03  02:00:00,24992.049183998406 
 01/03  03:00:00,24992.049183998406 
 01/03  04:00:00,24992.049183998406 
 01/03  05:00:00,24992.049183998406 
 01/03  06:00:00,24992.049183998406 
 01/03  07:00:00,24992.049183998406 
 01/03  08:00:00,24992.049183998406 
 01/03  09:00:00,24992.049183998406 
 01/03  10:00:00,24992.049183998406 
 01/03  11:00:00,24992.049183998406 
 01/03  12:00:00,24992.049183998406 
 01/03  13:00:00,24992.049183998406 
 01/03  14:00:00,24992.049183998406 
 01/03  15:00:00,24992.049183998406 
 01/03  16:00:00,24992.049183998406 
 01/03  17:00:00,24992.049183998406 
 01/03  18:00:00,24992.049183998406 
 01/03  19:00:00,17686.393903378328 
 01/03  20:00:00,4150.853617269055 
 01/03  21:00:00,2071.962296086175 
 01/03  22:00:00,1584.9145983016115 
 01/03  23:00:00,1413.449353521167 
 01/03  24:00:00,1337.2438220899157 
 01/04  01:00:00,1298.8067807218126 
 01/04  02:00:00,1278.103189423665 
 01/04  03:00:00,1266.5467337089533 
 01/04  04:00:00,1259.9556011422146 
 01/04  05:00:00,1256.1497068418118 
 01/04  06:00:00,1253.9475359952485 
 01/04  07:00:00,1252.668685354534 
 01/04  08:00:00,1251.9246210482875 
 01/04  09:00:00,1251.4914489197167 
 01/04  10:00:00,1251.2379332314122 
 01/04  11:00:00,1251.089001074528 
 01/04  12:00:00,1251.0018136685908 
 01/04  13:00:00,1250.9506691728072 
