Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Infiltration Standard Density Volume Flow Rate [m3/s](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),MAINZONE:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,-7.05,2.375,19.12552141357962,0.03614003655228041,2649244.507416964,0.0,400.66711329150786,28.917285753226786,2661930.386055754,12496.024591999203,12496.024591999203,15.443882353615217,24992.049183998406 
 01/01  02:00:00,-9.625,1.375,18.655565797027943,0.03647647113839879,2583559.6445248686,0.0,400.2619694224478,11.355559612154865,2862828.8823796846,12496.024591999203,12496.024591999203,14.572490996426652,24992.049183998406 
 01/01  03:00:00,-9.0625,1.625,18.58917746839,0.036630935017320565,2570049.0927626444,0.0,400.1049157130079,4.547769816305453,2791956.7588008344,12496.024591999203,12496.024591999203,14.538692961456404,24992.049183998406 
 01/01  04:00:00,-10.0625,0.75,18.463518516181832,0.03668481191256412,2581610.2472509816,0.0,400.04216941023327,1.8279127648577376,2887079.5419713575,12496.024591999203,12496.024591999203,14.346986123418201,24992.049183998406 
 01/01  05:00:00,-11.0,0.0,18.26549616813105,0.03667670643563044,2552727.8238964025,0.0,400.0171780550626,0.7446152542901427,2957079.8157606716,12496.024591999203,12496.024591999203,14.000869161516878,24992.049183998406 
 01/01  06:00:00,-9.625,1.25,18.314463415953657,0.03667178489025981,2554305.0160655254,0.0,400.0070408811193,0.30520029572506024,2817870.310193384,12496.024591999203,12496.024591999203,14.197893962456547,24992.049183998406 
 01/01  07:00:00,-9.55,1.375,18.31971953189381,0.0365872673062901,2579758.8650811515,0.0,400.00287422431546,0.12458868374286555,2817242.8785644886,12496.024591999203,12496.024591999203,14.268975029534287,24992.049183998406 
 01/01  08:00:00,-10.625,1.0,18.152287968252015,0.0366267829355536,2568518.0182109172,0.0,400.0011800898345,0.05115322362956094,2909454.5464062276,12496.024591999203,12496.024591999203,13.975885539460656,24992.049183998406 
 01/01  09:00:00,-8.75,1.625,18.30887657431384,0.03650054968427291,2538152.2851549126,0.0,400.0004875062716,0.021131880474020124,2720240.20108003,12496.024591999203,12496.024591999203,14.2470157924577,24992.049183998406 
 01/01  10:00:00,-9.025,1.375,20.0980516470949,0.03648310718041291,611483.6795746718,404590.1079052554,517.6592113212853,0.010074360519454907,2919335.366524673,12496.024591999203,12496.024591999203,15.649792181070385,6263792.049183998 
 01/01  11:00:00,-8.125,1.625,21.118232022980635,0.0362704596277659,0.0,534135.0138534467,638.9416691887866,0.004816419063654468,2933467.7277745944,12496.024591999203,12496.024591999203,16.663813164021136,7613792.049183998 
 01/01  12:00:00,-5.000000000000001,2.625,22.136977439214547,0.035950453548367955,0.0,495915.45396671706,721.5199598015928,0.0013512580803306579,2720698.9546253686,12496.024591999203,12496.024591999203,17.98994594807105,7613792.049183998 
 01/01  13:00:00,-3.925,3.625,22.692040113458912,0.035763309954727616,0.0,473084.45691409707,744.6587108863087,0.0004262927843846946,2681389.3582249284,12496.024591999203,12496.024591999203,18.730941322267192,7613792.049183998 
 01/01  14:00:00,-2.75,4.0,20.470938721815383,0.03554644316760332,0.0,377789.5342792899,662.765284597526,0.0001950565465320646,2372280.1059492845,12496.024591999203,12496.024591999203,17.304580391024036,243872.04918399846 
 01/01  15:00:00,-0.8750000000000001,4.625,21.927559189502496,0.03531471659335275,0.0,422608.1719404111,660.5835168512208,0.00011477856542362652,2279544.980571077,12496.024591999203,12496.024591999203,18.383309340482327,6263792.049183998 
 01/01  16:00:00,-0.075,4.375,22.4904140394707,0.035181224250908937,0.0,380760.8058955572,719.5883676187633,75832.89973415884,2294761.921512712,12496.024591999203,12496.024591999203,19.299439751448713,7613792.049183998 
 01/01  17:00:00,-1.25,4.625,22.064094342890975,0.03533857969646025,0.0,394386.74419369,746.3841080422144,78125.37566259899,2368318.008400212,12496.024591999203,12496.024591999203,18.76084982752613,7613792.049183998 
 01/01  18:00:00,-2.0625,3.75,21.79473620481206,0.03548290642556339,0.0,411077.27523995907,754.0468307924455,22933.89720379465,2415325.9940053495,12496.024591999203,12496.024591999203,18.350863989150493,7613792.049183998 
 01/01  19:00:00,-3.9125,3.0,20.00171189536028,0.03571164269874377,2326454.7913334994,36418.8052508354,648.1690392087214,10068.199856582143,2430914.093115298,12496.024591999203,12496.024591999203,16.63326583251303,24992.049183998406 
 01/01  20:00:00,-5.625,2.375,19.563128397999236,0.03592609098548652,2644070.691449018,0.0,497.4128863658843,3900.4586134210367,2555425.2220163317,12496.024591999203,12496.024591999203,15.973874030123607,24992.049183998406 
 01/01  21:00:00,-5.0,2.625,19.454636876895666,0.035877643255192875,2630168.2321192296,0.0,436.16332919565673,1449.7258746816178,2471159.73144629,12496.024591999203,12496.024591999203,15.884850705249205,24992.049183998406 
 01/01  22:00:00,-4.15,3.0,19.486954161611855,0.03574276772816934,2646376.588641499,0.0,413.5231843991287,542.0590979909747,2389843.4556959956,12496.024591999203,12496.024591999203,16.045924845645597,24992.049183998406 
 01/01  23:00:00,-4.0,2.375,19.447441095767772,0.03569832382780594,2653412.3505299496,0.0,405.0536860335575,202.57258013160435,2372181.1415431034,12496.024591999203,12496.024591999203,16.04711672218187,24992.049183998406 
