Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,-7.05,2.375,4.63533039523989,403.97559856167896,1776587.7084588094,18751.537502999996,18751.537502999996,3.0173933575874186,9037503.075006 
 01/01  02:00:00,-9.625,1.375,4.530927899039536,401.8215858993174,2147212.592572361,18751.537502999996,18751.537502999996,2.5274011878527847,9037503.075006 
 01/01  03:00:00,-9.0625,1.625,4.489935952370611,400.8366149355117,2054169.518439283,18751.537502999996,18751.537502999996,2.5679884453218733,9037503.075006 
 01/01  04:00:00,-10.0625,0.75,4.420600973704487,400.3855975274991,2197385.5709134713,18751.537502999996,18751.537502999996,2.375516431157121,9037503.075006 
 01/01  05:00:00,-11.0,0.0,4.320760051312339,400.17720615294473,2323457.8883852265,18751.537502999996,18751.537502999996,2.1466613620886457,9037503.075006 
 01/01  06:00:00,-9.625,1.25,4.246173510977123,400.0814690191437,2103608.9603974004,18751.537502999996,18751.537502999996,2.284759177182563,9037503.075006 
 01/01  07:00:00,-9.55,1.375,4.140556587216675,400.03754876927485,2078752.7478235236,18751.537502999996,18751.537502999996,2.220937644415616,9037503.075006 
 01/01  08:00:00,-10.625,1.0,3.991397433402234,400.0172632952884,2219139.4727788074,18751.537502999996,18751.537502999996,1.9366759761391923,9037503.075006 
 01/01  09:00:00,-8.75,1.625,3.885953774609616,400.00793985750903,1916568.8420909927,18751.537502999996,18751.537502999996,2.108391568450882,9037503.075006 
 01/01  10:00:00,-9.025,1.375,5.634398609867295,520.2894397740695,2194798.8028498134,18751.537502999996,18751.537502999996,3.395414492874038,15546303.075006 
 01/01  11:00:00,-8.125,1.625,5.886430308761696,729.6823145386929,2120791.8312345403,18751.537502999996,18751.537502999996,3.8776259488354192,15546303.075006 
 01/01  12:00:00,-5.000000000000001,2.625,5.908681868598403,840.2132754321174,1652229.8054211868,18751.537502999996,18751.537502999996,4.370427420750045,15546303.075006 
 01/01  13:00:00,-3.925,3.625,4.473304299728881,783.4343692530357,1298899.3800529335,18751.537502999996,18751.537502999996,3.462932934278508,10339263.075006 
 01/01  14:00:00,-2.75,4.0,5.679170146741125,780.3649118704307,1248602.2368870282,18751.537502999996,18751.537502999996,4.355285608025156,15546303.075006 
 01/01  15:00:00,-0.8750000000000001,4.625,6.000773679799993,856.8590130671935,1035320.4648917567,18751.537502999996,18751.537502999996,5.029748463453004,15546303.075006 
 01/01  16:00:00,-0.075,4.375,6.17752346112275,895.1307619202281,941055.3208349107,18751.537502999996,18751.537502999996,5.298297527314158,15546303.075006 
 01/01  17:00:00,-1.25,4.625,6.349403967170889,912.3053603005388,1146063.2083049775,18751.537502999996,18751.537502999996,5.277179545555131,15546303.075006 
 01/01  18:00:00,-2.0625,3.75,6.537903357681779,919.7383969498268,1296339.3774688945,18751.537502999996,18751.537502999996,5.3092166469568545,15546303.075006 
 01/01  19:00:00,-3.9125,3.0,4.870641182528951,804.1384901616825,1362434.5217464373,18751.537502999996,18751.537502999996,3.830253564048842,9037503.075006 
 01/01  20:00:00,-5.625,2.375,4.5798361338849185,598.8925615509902,1548021.9949354231,18751.537502999996,18751.537502999996,3.1607261027345865,9037503.075006 
 01/01  21:00:00,-5.0,2.625,4.59816464201533,490.54226149970754,1453868.181005239,18751.537502999996,18751.537502999996,3.2558051818792917,9037503.075006 
 01/01  22:00:00,-4.15,3.0,4.618500487009837,441.4886246970371,1329389.5775583743,18751.537502999996,18751.537502999996,3.406047860487855,9037503.075006 
 01/01  23:00:00,-4.0,2.375,4.608199849518755,418.9895367999195,1306045.696646857,18751.537502999996,18751.537502999996,3.4251002350735877,9037503.075006 
 01/01  24:00:00,-3.875,2.625,4.5802672811540575,408.70585041798523,1283372.1522623906,18751.537502999996,18751.537502999996,3.42182817738583,9037503.075006 
 01/02  01:00:00,-3.925,3.625,4.541231893993729,403.9854364785079,1285521.828242649,18751.537502999996,18751.537502999996,3.3827300305599866,9037503.075006 
 01/02  02:00:00,-4.0,3.375,4.503256527860376,401.81902007076815,1290833.3764825156,18751.537502999996,18751.537502999996,3.337242093957829,9037503.075006 
 01/02  03:00:00,-4.0,3.625,4.468300913558645,400.8313209516882,1285743.3226844226,18751.537502999996,18751.537502999996,3.308719511059466,9037503.075006 
 01/02  04:00:00,-4.0,3.375,4.436375605805163,400.37943895695616,1280616.7751445107,18751.537502999996,18751.537502999996,3.2781604519674623,9037503.075006 
 01/02  05:00:00,-4.0,4.875,4.402698042706164,400.1731360498717,1275985.9914281485,18751.537502999996,18751.537502999996,3.2545417151543083,9037503.075006 
 01/02  06:00:00,-4.375,5.375,4.365698529103002,400.078382987251,1326346.561047995,18751.537502999996,18751.537502999996,3.166688525421319,9037503.075006 
 01/02  07:00:00,-6.1,5.0,4.310749891891609,400.035600434554,1580081.7517992738,18751.537502999996,18751.537502999996,2.8695749614233153,9037503.075006 
 01/02  08:00:00,-7.625,3.75,4.25766897835496,400.01617969571333,1801416.694835522,18751.537502999996,18751.537502999996,2.5881237723180512,9037503.075006 
 01/02  09:00:00,-7.562500000000001,4.25,4.232553057859674,400.00738941865825,1787661.3684851243,18751.537502999996,18751.537502999996,2.5717251758980524,9037503.075006 
 01/02  10:00:00,-8.3625,4.375,6.057513438739142,519.9925929010276,2156039.0659956075,18751.537502999996,18751.537502999996,3.839259152770347,15546303.075006 
 01/02  11:00:00,-9.0,4.625,6.387667610715164,727.6508612040587,2326989.5627098563,18751.537502999996,18751.537502999996,4.164045940207647,15546303.075006 
 01/02  12:00:00,-8.0,3.75,6.466516623331177,836.6741288669523,2187963.126722674,18751.537502999996,18751.537502999996,4.383069455137145,15546303.075006 
 01/02  13:00:00,-7.775,3.625,5.079825275750716,780.741578897239,1972498.1597255222,18751.537502999996,18751.537502999996,3.3997615657915246,10339263.075006 
 01/02  14:00:00,-7.375,3.375,6.301262977501021,778.3964382705848,2042586.263254538,18751.537502999996,18751.537502999996,4.19426083272419,15546303.075006 
 01/02  15:00:00,-6.4375,3.0,6.59817312026183,856.800975317311,1968713.6414800305,18751.537502999996,18751.537502999996,4.717954491059485,15546303.075006 
 01/02  16:00:00,-6.6625,2.375,6.715826071262449,897.5815630774815,2022443.173678378,18751.537502999996,18751.537502999996,4.791342543164762,15546303.075006 
 01/02  17:00:00,-8.25,2.0,6.815199976420777,915.2799314535545,2277728.4135941355,18751.537502999996,18751.537502999996,4.640710713009863,15546303.075006 
 01/02  18:00:00,-8.375,2.0,6.932226379894997,923.6135510453337,2312467.2029682333,18751.537502999996,18751.537502999996,4.713178231860944,15546303.075006 
 01/02  19:00:00,-9.25,2.0,5.19600956450039,807.5534650477681,2219395.869247425,18751.537502999996,18751.537502999996,3.3160329601780676,9037503.075006 
 01/02  20:00:00,-10.0,2.0,4.826464660057209,600.7047758444979,2248966.0678196205,18751.537502999996,18751.537502999996,2.731295297089828,9037503.075006 
 01/02  21:00:00,-9.3125,2.0,4.747556588723391,491.40661648586723,2131971.0347865606,18751.537502999996,18751.537502999996,2.759350379642753,9037503.075006 
 01/02  22:00:00,-9.5875,1.375,4.644981524030238,442.09091560946126,2159921.148018972,18751.537502999996,18751.537502999996,2.6419817833742743,9037503.075006 
 01/02  23:00:00,-10.0,1.0,4.514949235617571,419.3295292104327,2202610.69461603,18751.537502999996,18751.537502999996,2.4702220066434917,9037503.075006 
 01/02  24:00:00,-9.25,1.0,4.392400929860894,408.88445575214,2070352.243909566,18751.537502999996,18751.537502999996,2.476303717286936,9037503.075006 
 01/03  01:00:00,-9.55,1.0,4.246180753243546,404.0973267986577,2095424.0611481983,18751.537502999996,18751.537502999996,2.317633285694009,9037503.075006 
 01/03  02:00:00,-10.0,1.0,4.084028204245568,401.88424589381395,2138322.5761508266,18751.537502999996,18751.537502999996,2.1093336703349,9037503.075006 
 01/03  03:00:00,-9.6875,1.625,3.9341182251237345,400.8668206587789,2068094.8354996252,18751.537502999996,18751.537502999996,2.027638971544036,9037503.075006 
 01/03  04:00:00,-10.4375,2.625,3.7640632712213193,400.39931851487694,2157088.44931252,18751.537502999996,18751.537502999996,1.7787294215966376,9037503.075006 
 01/03  05:00:00,-11.0,2.375,3.594759162244956,400.1831920276875,2215205.4308568113,18751.537502999996,18751.537502999996,1.54338914731873,9037503.075006 
 01/03  06:00:00,-10.3125,2.625,3.4515740119535647,400.0841873879522,2089153.2533945676,18751.537502999996,18751.537502999996,1.521679131249544,9037503.075006 
 01/03  07:00:00,-10.5875,2.375,3.2930629080515947,400.0387657543889,2108034.9959207354,18751.537502999996,18751.537502999996,1.3532788993863591,9037503.075006 
 01/03  08:00:00,-11.625,2.0,3.1117652642077025,400.01783449358237,2237823.678640661,18751.537502999996,18751.537502999996,1.0454071932132418,9037503.075006 
 01/03  09:00:00,-11.624999999999998,2.0,2.949911501625843,400.0082124014815,2211839.675279249,18751.537502999996,18751.537502999996,0.8987648528399216,9037503.075006 
 01/03  10:00:00,-11.15,3.25,2.817482397280365,400.00378853711436,2120110.2309263432,18751.537502999996,18751.537502999996,0.8573760007588362,9037503.075006 
 01/03  11:00:00,-11.0,5.25,2.656882763651365,400.0017326220392,2074377.2591322395,18751.537502999996,18751.537502999996,0.7500868673479865,9037503.075006 
 01/03  12:00:00,-10.5625,4.125,2.511903172219845,400.0007887454829,1984176.1223575112,18751.537502999996,18751.537502999996,0.679918705450858,9037503.075006 
 01/03  13:00:00,-9.4875,3.625,2.4132688695605085,400.00036309212635,1805288.1821239747,18751.537502999996,18751.537502999996,0.7498666883920178,9037503.075006 
 01/03  14:00:00,-8.375,3.375,2.3539070535197473,400.00016673237,1626239.8274355405,18751.537502999996,18751.537502999996,0.8560820371900107,9037503.075006 
 01/03  15:00:00,-7.375,3.625,2.331072300866626,400.00007664020177,1470249.6624411014,18751.537502999996,18751.537502999996,0.9786957668424943,9037503.075006 
