Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),MAINZONE:Zone Mechanical Ventilation Air Changes per Hour [ach](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,-7.05,2.375,16.0,4874825.150989607,0.0,407.98658693032536,3648193.1853979863,18744.036887998802,18744.036887998802,13.51061792659192,0.7635166013256877,37488.073775997604 
 01/01  02:00:00,-9.625,1.375,16.0,5043294.708309858,0.0,404.1168038427639,4071374.078566412,18744.036887998802,18744.036887998802,13.321680504535285,0.7642527311361222,37488.073775997604 
 01/01  03:00:00,-9.0625,1.625,16.0,5117222.850622463,0.0,402.12967066770034,3980940.493852435,18744.036887998802,18744.036887998802,13.377003969508529,0.7593293585174062,37488.073775997604 
 01/01  04:00:00,-10.0625,0.75,16.0,5162974.359932834,0.0,401.1055663204986,4134443.6439416762,18744.036887998802,18744.036887998802,13.245690518802505,0.7613433118778182,37488.073775997604 
 01/01  05:00:00,-11.0,0.0,16.0,5195524.548691405,0.0,400.5729334259123,4294753.18913166,18744.036887998802,18744.036887998802,13.20992999864815,0.7643421864183877,37488.073775997604 
 01/01  06:00:00,-9.625,1.25,16.0,5210442.410414929,0.0,400.2970653405685,4071911.476567385,18744.036887998802,18744.036887998802,13.32846641027395,0.7602201363634551,37488.073775997604 
 01/01  07:00:00,-9.55,1.375,16.0,5230448.996096196,0.0,400.1543325294051,4051145.491481996,18744.036887998802,18744.036887998802,13.288235136808527,0.7618262458656366,37488.073775997604 
 01/01  08:00:00,-10.625,1.0,21.037486830490593,13799284.984603882,48405.96999950257,400.09071214262565,4787813.62346715,18744.036887998802,18744.036887998802,16.353263810439827,0.7779845791918515,37488.073775997604 
 01/01  09:00:00,-8.75,1.625,21.0,9885374.180364365,0.0,400.05298292683364,4518541.48871419,18744.036887998802,18744.036887998802,16.70481768045215,0.7771646010831067,37488.073775997604 
 01/01  10:00:00,-9.025,1.375,21.0,2520283.1629105024,0.0,547.7957077799649,4561613.720514778,18744.036887998802,18744.036887998802,16.673563563032232,0.7784161204957335,6816288.073775997 
