Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Infiltration Standard Density Volume Flow Rate [m3/s](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,-7.05,2.375,20.0,0.003474459823225632,231567.3485555699,0.0,403.3436567753489,4100370.2423492875,18744.036887998802,18744.036887998802,16.046740669146367,37488.073775997604 
 01/01  02:00:00,-9.625,1.375,20.0,0.003386163833568519,296366.087500253,0.0,401.50485410315474,4488113.795769166,18744.036887998802,18744.036887998802,15.66048257605125,37488.073775997604 
 01/01  03:00:00,-9.0625,1.625,20.000000000000004,0.0034248346647535585,317847.1451802768,0.0,400.67994901845134,4402855.006653078,18744.036887998802,18744.036887998802,15.744836370009383,37488.073775997604 
 01/01  04:00:00,-10.0625,0.75,20.0,0.0033700908022979755,349592.1430934217,0.0,400.30824435436557,4552898.592074502,18744.036887998802,18744.036887998802,15.594825088775677,37488.073775997604 
 01/01  05:00:00,-11.0,0.0,20.0,0.003340995525512895,381094.844620669,0.0,400.1396019673794,4694486.929329991,18744.036887998802,18744.036887998802,15.454183141087253,37488.073775997604 
 01/01  06:00:00,-9.625,1.25,20.0,0.003401284205940515,385784.4074960911,0.0,400.0632514393611,4487375.7794108745,18744.036887998802,18744.036887998802,15.660411145096134,37488.073775997604 
 01/01  07:00:00,-9.55,1.375,20.0,0.0033965019115414687,401186.1459007125,0.0,400.02869040223675,4475759.056009987,18744.036887998802,18744.036887998802,15.671650980137823,37488.073775997604 
 01/01  08:00:00,-10.625,1.0,20.0,0.0033688019311711335,430947.60033971927,0.0,400.0129929203989,4637504.789978161,18744.036887998802,18744.036887998802,15.510393581013673,37488.073775997604 
 01/01  09:00:00,-8.75,1.625,20.000000000000004,0.0034125437045371193,407810.80174996005,0.0,400.00588690080804,4355609.36088185,18744.036887998802,18744.036887998802,15.79162480340177,37488.073775997604 
 01/01  10:00:00,-9.025,1.375,21.962905421437412,0.003386779779376072,0.0,857814.5266863108,508.70585146699955,4656339.590563521,18744.036887998802,18744.036887998802,17.206179293222927,6816288.073775997 
 01/01  11:00:00,-8.125,1.625,23.16686390049493,0.0033910006691969695,0.0,841703.8555191663,699.8494529961204,4727666.606388801,18744.036887998802,18744.036887998802,18.50063090679203,8346288.073775997 
 01/01  12:00:00,-5.000000000000001,2.625,23.33407134945429,0.003496051291382381,0.0,753667.3771763293,812.2652968657067,4289385.30185993,18744.036887998802,18744.036887998802,19.15770538954571,8346288.073775997 
 01/01  13:00:00,-3.925,3.625,23.42473088002473,0.003675315484011584,0.0,724017.7408423328,859.0608458359749,4144096.257134827,18744.036887998802,18744.036887998802,19.414365764101085,8346288.073775997 
 01/01  14:00:00,-2.75,4.0,20.78784991410076,0.0037404328003496296,0.0,519515.4002710958,782.2290856576117,3612067.1466536312,18744.036887998802,18744.036887998802,17.60459472451919,256368.07377599765 
 01/01  15:00:00,-0.8750000000000001,4.625,22.27885044449883,0.0038865072916282727,0.0,653335.5467650874,751.3758676204076,3468271.873065631,18744.036887998802,18744.036887998802,18.65673555866382,6816288.073775997 
 01/01  16:00:00,-0.075,4.375,23.51585836842811,0.0038020810604345264,0.0,625771.722811636,811.0331162599998,3575987.3529734616,18744.036887998802,18744.036887998802,20.047996638368613,8346288.073775997 
 01/01  17:00:00,-1.25,4.625,23.565632526590683,0.003889464334821533,0.0,653646.8745422228,857.0674984470141,3764031.8098895117,18744.036887998802,18744.036887998802,19.94559261488044,8346288.073775997 
 01/01  18:00:00,-2.0625,3.75,23.60106825998063,0.0036827599286197226,0.0,679150.5356556368,876.0402867038653,3889016.5807356313,18744.036887998802,18744.036887998802,19.84128994192117,8346288.073775997 
 01/01  19:00:00,-3.9125,3.0,20.554420075184,0.003536996234808504,7535.975391308137,324674.4714061051,754.5369687141025,3745207.359389949,18744.036887998802,18744.036887998802,17.186615563823104,37488.073775997604 
 01/01  20:00:00,-5.625,2.375,20.000000879644006,0.0034540590055991455,43755.82307528755,25022.057549988473,593.0721005044076,3884278.35561827,18744.036887998802,18744.036887998802,16.260345098397885,37488.073775997604 
 01/01  21:00:00,-5.0,2.625,20.000000000026937,0.003489003758008023,129178.29545260032,0.0,484.86501758910885,3790456.8307147464,18744.036887998802,18744.036887998802,16.354129910808627,37488.073775997604 
 01/01  22:00:00,-4.15,3.0,20.0,0.0035400789580765204,177957.69891865592,0.0,437.93921379416355,3662498.8132464625,18744.036887998802,18744.036887998802,16.48165431482896,37488.073775997604 
 01/01  23:00:00,-4.0,2.375,20.0,0.0034322063403679965,206954.15734115813,0.0,416.94793191624126,3639803.859951339,18744.036887998802,18744.036887998802,16.50417096515156,37488.073775997604 
 01/01  24:00:00,-3.875,2.625,20.0,0.00347374885523138,244798.58540496422,0.0,407.5904303354034,3621446.640832511,18744.036887998802,18744.036887998802,16.522926486011777,37488.073775997604 
