Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Infiltration Standard Density Volume Flow Rate [m3/s](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),MAINZONE:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,-7.05,2.375,20.0,0.003474459823225632,1035183.8966157769,0.0,403.4820094264296,212.93378606838277,4100370.2423492866,18744.036887998802,18744.036887998802,16.046407748543047,37488.073775997604 
 01/01  02:00:00,-9.625,1.375,20.0,0.003386163833568519,1100720.237208262,0.0,401.6000198669151,97.84530879927516,4488113.795769166,18744.036887998802,18744.036887998802,15.660150584845084,37488.073775997604 
 01/01  03:00:00,-9.0625,1.625,20.0,0.0034248346647535585,1123479.163568091,0.0,400.73801335317864,45.13140489058965,4402855.006653078,18744.036887998802,18744.036887998802,15.744509518021488,37488.073775997604 
 01/01  04:00:00,-10.0625,0.75,20.0,0.0033700908022979755,1157101.478038659,0.0,400.34149163889435,20.883087487792434,4552898.592074502,18744.036887998802,18744.036887998802,15.594503479680226,37488.073775997604 
 01/01  05:00:00,-11.0,0.0,20.0,0.003340995525512895,1190994.7200183473,0.0,400.15788894762744,9.65531313544879,4694486.929329993,18744.036887998802,18744.036887998802,15.45386839110832,37488.073775997604 
 01/01  06:00:00,-9.625,1.25,20.0,0.003401284205940515,1198440.866015946,0.0,400.0730386310514,4.46649917161893,4487375.779410874,18744.036887998802,18744.036887998802,15.660103320114201,37488.073775997604 
 01/01  07:00:00,-9.55,1.375,20.0,0.0033965019115414687,1217151.432946955,0.0,400.033825340712,2.0685061329056635,4475759.056009987,18744.036887998802,18744.036887998802,15.671348037089484,37488.073775997604 
 01/01  08:00:00,-10.625,1.0,20.0,0.0033688019311711335,1250949.0822234643,0.0,400.0156438430927,0.9566610327637959,4637504.7899781605,18744.036887998802,18744.036887998802,15.510095343141838,37488.073775997604 
 01/01  09:00:00,-8.75,1.625,20.0,0.0034125437045371193,1230721.1504195223,0.0,400.0072394497256,0.4427108741762328,4355609.360881849,18744.036887998802,18744.036887998802,15.791331432043458,37488.073775997604 
 01/01  10:00:00,-9.025,1.375,21.322039315052272,0.003386779779376072,0.0,833659.9899349887,509.95794116868285,0.23171344473286826,4568620.090407674,18744.036887998802,18744.036887998802,16.71366560037319,6816288.073775997 
 01/01  11:00:00,-8.125,1.625,22.287216515723127,0.0033910006691969695,0.0,817576.2138488498,699.4948686482369,0.11767777561461668,4596897.489023367,18744.036887998802,18744.036887998802,17.766807614323444,8346288.073775997 
 01/01  12:00:00,-5.000000000000001,2.625,22.446204294779083,0.003496051291382381,0.0,730949.8992191026,812.380404532114,0.05015900812235663,4155058.680183202,18744.036887998802,18744.036887998802,18.404254129531687,8346288.073775997 
