Hour,T_out_C,T_in_C,CO2_ppm
0,-7.05,4.63533039523989,403.97559856167896
1,-9.625,4.530927899039536,401.8215858993174
2,-9.0625,4.489935952370611,400.8366149355117
3,-10.0625,4.420600973704487,400.3855975274991
4,-11.0,4.320760051312339,400.17720615294473
5,-9.625,4.246173510977123,400.0814690191437
6,-9.55,4.140556587216675,400.0375487692749
7,-10.625,3.991397433402234,400.0172632952884
8,-8.75,3.885953774609616,400.007939857509
9,-9.025,5.634398609867295,520.2894397740695
10,-8.125,5.886430308761696,729.6823145386929
11,-5.000000000000001,5.908681868598403,840.2132754321174
12,-3.925,4.473304299728881,783.4343692530357
13,-2.75,5.679170146741125,780.3649118704307
14,-0.8750000000000001,6.000773679799993,856.8590130671935
15,-0.075,6.17752346112275,895.1307619202281
16,-1.25,6.349403967170889,912.3053603005388
17,-2.0625,6.537903357681779,919.7383969498268
18,-3.9125,4.870641182528951,804.1384901616825
19,-5.625,4.579836133884919,598.8925615509902
20,-5.0,4.59816464201533,490.54226149970754
21,-4.15,4.618500487009837,441.4886246970371
22,-4.0,4.608199849518755,418.9895367999195
23,-3.875,4.5802672811540575,408.7058504179852
24,-3.925,4.541231893993729,403.9854364785079
25,-4.0,4.503256527860376,401.81902007076815
26,-4.0,4.468300913558645,400.8313209516882
27,-4.0,4.436375605805163,400.37943895695616
28,-4.0,4.402698042706164,400.1731360498717
29,-4.375,4.365698529103002,400.078382987251
30,-6.1,4.310749891891609,400.035600434554
31,-7.625,4.25766897835496,400.0161796957133
32,-7.562500000000001,4.232553057859674,400.0073894186583
33,-8.3625,6.057513438739142,519.9925929010276
34,-9.0,6.387667610715164,727.6508612040587
35,-8.0,6.466516623331177,836.6741288669523
36,-7.775,5.079825275750716,780.741578897239
37,-7.375,6.301262977501021,778.3964382705848
38,-6.4375,6.59817312026183,856.800975317311
39,-6.6625,6.715826071262449,897.5815630774815
40,-8.25,6.815199976420777,915.2799314535544
41,-8.375,6.932226379894997,923.6135510453336
42,-9.25,5.19600956450039,807.5534650477681
43,-10.0,4.826464660057209,600.7047758444979
44,-9.3125,4.747556588723391,491.4066164858672
45,-9.5875,4.644981524030238,442.09091560946126
46,-10.0,4.514949235617571,419.3295292104327
47,-9.25,4.392400929860894,408.88445575214
48,-9.55,4.246180753243546,404.0973267986577
49,-10.0,4.084028204245568,401.884245893814
50,-9.6875,3.934118225123735,400.8668206587789
51,-10.4375,3.7640632712213193,400.39931851487694
52,-11.0,3.594759162244956,400.1831920276875
53,-10.3125,3.4515740119535647,400.0841873879522
54,-10.5875,3.2930629080515947,400.0387657543889
55,-11.625,3.1117652642077025,400.0178344935824
56,-11.624999999999998,2.949911501625843,400.0082124014815
57,-11.15,2.817482397280365,400.0037885371144
58,-11.0,2.656882763651365,400.0017326220392
59,-10.5625,2.511903172219845,400.0007887454829
60,-9.4875,2.4132688695605085,400.0003630921264
61,-8.375,2.3539070535197477,400.00016673237
62,-7.375,2.331072300866626,400.00007664020177
63,-6.375,2.3404064077626705,400.00003513407455
64,-6.625,2.3634045601725115,400.000016073848
65,-6.6875,2.399788033421317,400.00000739055065
66,-6.8125,2.4358740799145635,400.0000033969483
67,-6.375,2.4665382723855163,400.0000015561841
68,-6.0625,2.4824845678964587,400.0000007098537
69,-6.0375,2.4781000396256143,400.0000003226386
70,-6.625,2.4528340126209853,400.0000001463336
71,-7.0625,2.418856066834379,400.000000066448
72,-7.6625,2.3777556360048338,400.0000000303588
73,-8.0,2.323299203907901,400.0000000139101
74,-7.75,2.264167470268788,400.0000000063719
75,-7.225,2.2062402688690064,400.000000002917
76,-7.0,2.1320365218044866,400.0000000013399
77,-6.812499999999999,2.049571079100454,400.00000000061306
78,-6.8875,1.967538987255852,400.0000000002814
79,-7.0,1.8790944912792336,400.0000000001292
80,-6.6875,1.8037377952376388,400.0000000000592
81,-6.1875,1.7410100981962906,400.0000000000272
82,-6.625,1.6773403932240056,400.0000000000125
83,-6.562500000000001,1.6373401784523245,400.0000000000058
84,-6.1125,1.6156993091524463,400.00000000000273
85,-6.0,1.6101001934754708,400.0000000000013
86,-5.375,1.6417525914745736,400.00000000000057
87,-5.0,1.699128139620163,400.0000000000002
88,-5.0,1.77296961401757,400.00000000000017
89,-5.125,1.8585269310984096,400.00000000000017
90,-5.075,1.945170350126148,400.0000000000001
91,-5.0,2.0217784098497207,400.00000000000017
92,-4.5,2.087965646654213,400.00000000000034
93,-4.075,2.1458263155051807,400.00000000000034
94,-4.0,2.1880996281450606,400.0000000000005
95,-3.875,2.2240144209986688,400.00000000000034
96,-4.55,2.2396845846786757,400.0000000000001
97,-5.0,2.253241771776296,400.0000000000003
98,-5.0,2.281013119224909,400.00000000000006
99,-5.625,2.2900342013714163,400.00000000000006
100,-6.0,2.2980223961968664,400.00000000000034
101,-6.749999999999999,2.300784417739369,400.0000000000003
102,-7.7,2.289659207986949,400.0000000000004
103,-8.625,2.27475704119958,400.0000000000002
104,-9.125,2.258590725500897,400.0000000000003
105,-9.7,4.085176963578158,520.3403195634256
106,-10.0,4.446436637288814,730.0921239782185
107,-9.8125,4.533520708999426,841.1575871998875
108,-9.8875,3.1526610039261502,784.9608521174606
109,-10.0,4.367523337422388,782.6813702663109
