=== ОГЛЯД СИМУЛЯЦІЇ ===

Годин розрахунку: 8760

Показник: T_out_C
  Мін: -21.19
  Макс: 32.50
  Середнє: 9.71

Показник: T_in_C
  Мін: -2.04
  Макс: 34.90
  Середнє: 17.87

Показник: CO2_ppm
  Мін: 400.00
  Макс: 935.48
  Середнє: 523.53

=== ДАНІ (ТІЛЬКИ КОЖЕН 24-й КРОК ДЛЯ ОГЛЯДУ) ===
      T_out_C     T_in_C     CO2_ppm
0     -7.0500   4.635330  403.975599
24    -3.9250   4.541232  403.985436
48    -9.5500   4.246181  404.097327
72    -7.6625   2.377756  400.000000
96    -4.5500   2.239685  400.000000
120  -15.8000   2.102011  404.258682
144  -18.8750  -0.260621  404.556617
168  -10.4125  -1.861037  404.559672
192  -12.1000  -0.623692  404.193181
216   -3.0000   0.340337  403.740527
240   -6.9500   3.403158  400.000000
264   -3.8500   3.799633  400.000000
288   -4.5000   5.039217  404.014069
312   -4.5875   5.534607  404.045611
336    1.7375   6.957828  403.902584
360    1.0375   8.465868  403.650677
384   -0.8500   8.882903  403.584312
408   -4.7000   8.166456  400.000000
432   -4.0375   6.404531  400.000000
456   -4.1500   6.568752  403.858389
480   -2.1875   7.492293  403.759906
504   -1.3000   8.192581  403.517154
528    1.4250   8.259823  403.508477
552   -0.2250   9.383745  403.439625
576    2.3375   9.085902  400.000000
600    0.6750  10.411596  400.000000
624    0.1375  10.066746  403.496995
648    0.7250   9.221898  403.672257
672    1.1500   9.635686  403.659606
696   -0.9625   9.952520  403.301738
720   -0.8875   9.877700  403.529559
744   -0.1500   9.409638  400.000000
768    0.8375   9.252025  400.000000
792    0.4750   9.528114  403.555503
816   -1.4250   9.827483  403.583298
840   -4.6625   9.278599  403.582200
864   -3.1000   8.242594  403.976786
888   -4.9000   8.168393  404.117813
912   -7.2125   7.798567  400.000000
936   -6.0125   6.527702  400.000000
960   -4.7000   6.546055  404.441056
984   -1.1000   7.645035  404.127972
1008   0.9250   8.888484  403.547360
1032  -1.8500  10.388561  403.808328
1056   2.7625   9.346385  403.748331
1080   1.2000  10.661876  400.000000
1104   0.9125  11.405197  400.000000
1128  -0.4125   9.980177  403.759367
1152   0.2625  10.098639  403.696410
1176   3.5375  11.752144  403.189883
1200   0.9000  12.189935  403.271967
1224   1.3750  11.558587  403.078000
1248   0.7250  12.207508  400.000000
1272  -3.4750  10.613849  400.000000
1296  -4.2375  10.102428  403.885493
1320   2.8000  10.291018  403.414037
1344   2.2250  12.903480  403.020928
1368   2.6250  13.036696  403.375297
1392  -2.1875  12.747902  403.464061
1416   0.3625  11.078066  400.000000
1440   1.4625   9.568931  400.000000
1464   2.1875  10.449678  403.153339
1488  -0.1000  12.844237  403.388179
1512   3.9875  14.360173  403.087476
1536   0.0375  13.173931  403.257307
1560  -2.7750  11.384292  403.366103
1584   1.5750   9.429143  400.000000
1608  -5.2500  10.114669  400.000000
1632  -5.4750   8.663465  403.742013
1656  -5.7750   9.216837  403.793866
1680  -3.1875   9.462862  403.673876
1704  -0.6375   8.742539  403.549446
1728   3.1000  12.130350  403.301631
1752   3.9625  13.755773  400.000000
1776   3.4250  13.503473  400.000000
1800   2.2125  15.809794  402.972409
1824   2.4250  15.241938  403.079164
1848   1.6500  14.747912  403.087499
1872   0.0750  12.145920  403.379107
1896  -0.6625  12.331250  403.351098
1920   0.3500  11.463835  400.000000
1944   0.2000  11.794354  400.000000
1968  -0.3000  12.017982  403.217557
1992  -0.5875  12.464199  403.323601
2016  -0.5500  14.241712  403.377204
